Dataset: Wine,,,,,,,,,
SMOTEBoost,0.496 ± 0.009,0.376 ± 0.009,0.325 ± 0.013,0.427 ± 0.004,0.202 ± 0.001,0.14 ± 0.006,0.376 ± 0.009,0.496 ± 0.009,0.439 ± 0.003
,,,,,,,,,
Dataset: Pen-Based_Recognition_of_Handwritten_Digits,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.947 ± 0.009,0.905 ± 0.031,0.916 ± 0.025,0.926 ± 0.021,0.9 ± 0.031,0.895 ± 0.035,0.905 ± 0.031,0.947 ± 0.009,0.905 ± 0.031
MEBoost,0.778 ± 0.005,0.122 ± 0.012,0.053 ± 0.021,0.127 ± 0.031,0.079 ± 0.043,0.021 ± 0.014,0.122 ± 0.012,0.778 ± 0.005,0.119 ± 0.013
AdaBoost,0.923 ± 0.009,0.908 ± 0.018,0.911 ± 0.016,0.915 ± 0.014,0.899 ± 0.019,0.898 ± 0.02,0.908 ± 0.018,0.923 ± 0.009,0.907 ± 0.019
RUSBoost,0.522 ± 0.01,0.481 ± 0.001,0.386 ± 0.002,0.5 ± 0.005,0.439 ± 0.001,0.422 ± 0.001,0.481 ± 0.001,0.522 ± 0.01,0.471 ± 0.001
GradientBoostingC,0.88 ± 0.004,0.776 ± 0.018,0.8 ± 0.014,0.824 ± 0.012,0.766 ± 0.018,0.75 ± 0.02,0.776 ± 0.018,0.88 ± 0.004,0.774 ± 0.018
XGBClassifier,0.989 ± 0.001,0.989 ± 0.001,0.989 ± 0.001,0.989 ± 0.001,0.988 ± 0.001,0.988 ± 0.001,0.989 ± 0.001,0.989 ± 0.001,0.989 ± 0.001
CatBoost,0.984 ± 0.003,0.984 ± 0.003,0.984 ± 0.003,0.984 ± 0.003,0.982 ± 0.003,0.982 ± 0.003,0.984 ± 0.003,0.984 ± 0.003,0.984 ± 0.003
