Dataset: Yeast;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
power;GradientBoostingClassifier;0,981;0,978;0,978;0,980;0,968;0,966;0,978;0,981;0,981
quantile;LogitBoost;0,958;0,950;0,950;0,954;0,928;0,924;0,950;0,958;0,954
quantile;MEBoost;0,903;0,871;0,872;0,887;0,821;0,805;0,871;0,903;0,878
quantile;AdaBoost;0,989;0,989;0,989;0,989;0,983;0,983;0,989;0,989;0,990
quantile;RUSBoost;0,917;0,899;0,898;0,908;0,857;0,847;0,899;0,917;0,908
quantile;GradientBoostingClassifier;0,976;0,972;0,972;0,974;0,960;0,958;0,972;0,976;0,977
polynomial;LogitBoost;0,978;0,972;0,973;0,975;0,960;0,958;0,972;0,978;0,972
polynomial;MEBoost;0,952;0,944;0,945;0,948;0,919;0,915;0,944;0,952;0,950
polynomial;AdaBoost;0,989;0,989;0,989;0,989;0,984;0,983;0,989;0,989;0,991
polynomial;RUSBoost;0,927;0,922;0,921;0,924;0,884;0,881;0,922;0,927;0,923
polynomial;GradientBoostingClassifier;0,978;0,972;0,972;0,975;0,961;0,958;0,972;0,978;0,977
kbins;LogitBoost;0,956;0,944;0,945;0,950;0,921;0,915;0,944;0,956;0,948
kbins;MEBoost;0,878;0,782;0,779;0,825;0,720;0,672;0,782;0,878;0,792
kbins;AdaBoost;0,973;0,972;0,972;0,973;0,958;0,958;0,972;0,973;0,974
kbins;RUSBoost;0,845;0,775;0,779;0,809;0,690;0,660;0,775;0,845;0,774
kbins;GradientBoostingClassifier;0,969;0,966;0,966;0,968;0,951;0,949;0,966;0,969;0,970
Dataset: Vertebral_Column;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,871;0,849;0,849;0,860;0,771;0,762;0,849;0,871;0,825
standard;MEBoost;0,868;0,655;0,571;0,595;0,583;0,485;0,655;0,868;0,651
standard;AdaBoost;0,873;0,861;0,862;0,867;0,784;0,779;0,861;0,873;0,828
standard;RUSBoost;0,804;0,735;0,732;0,768;0,629;0,597;0,735;0,804;0,727
standard;GradientBoostingClassifier;0,861;0,858;0,856;0,860;0,775;0,772;0,858;0,861;0,810
minmax;LogitBoost;0,801;0,758;0,734;0,779;0,624;0,586;0,758;0,801;0,707
minmax;MEBoost;0,682;0,700;0,669;0,691;0,507;0,489;0,700;0,682;0,607
